id,mo,day,yr,time,rookery,rkname,island,sex,wgt,tagmark,tagno,sheared,tagged,handled,plen
264,8,30,1957,1400,12,ZAR,1,M,7.8,F,0     N,N,N,N,
265,8,30,1957,1400,12,ZAR,1,M,7.7,F,0     N,N,N,N,
266,8,30,1957,1400,12,ZAR,1,M,6.8,F,0     N,N,N,N,
267,8,30,1957,1400,12,ZAR,1,M,7.2,F,0     N,N,N,N,
268,8,30,1957,1400,12,ZAR,1,M,8.2,F,0     N,N,N,N,
269,8,30,1957,1400,12,ZAR,1,M,8.5,F,0     N,N,N,N,
270,8,30,1957,1400,12,ZAR,1,M,8.9,F,0     N,N,N,N,
271,8,30,1957,1400,12,ZAR,1,M,10.9,F,0     N,N,N,N,
272,8,30,1957,1400,12,ZAR,1,M,9.1,F,0     N,N,N,N,
273,8,30,1957,1400,12,ZAR,1,M,6.9,F,0     N,N,N,N,
274,8,30,1957,1400,12,ZAR,1,M,5.2,F,0     N,N,N,N,
275,8,30,1957,1400,12,ZAR,1,M,7.3,F,0     N,N,N,N,
276,8,30,1957,1400,12,ZAR,1,M,9.1,F,0     N,N,N,N,
277,8,30,1957,1400,12,ZAR,1,M,6.3,F,0     N,N,N,N,
278,8,30,1957,1400,12,ZAR,1,M,6.3,F,0     N,N,N,N,
279,8,30,1957,1400,12,ZAR,1,M,10.8,F,0     N,N,N,N,
280,8,30,1957,1400,12,ZAR,1,M,9.4,F,0     N,N,N,N,
281,8,30,1957,1400,12,ZAR,1,M,9.9,F,0     N,N,N,N,
282,8,30,1957,1400,12,ZAR,1,M,6.3,F,0     N,N,N,N,
283,8,30,1957,1400,12,ZAR,1,M,10.4,F,0     N,N,N,N,
284,8,30,1957,1400,12,ZAR,1,M,7.7,F,0     N,N,N,N,
285,8,30,1957,1400,12,ZAR,1,M,9.3,F,0     N,N,N,N,
286,8,30,1957,1400,12,ZAR,1,M,6.1,F,0     N,N,N,N,
287,8,30,1957,1400,12,ZAR,1,M,6.1,F,0     N,N,N,N,
288,8,30,1957,1400,12,ZAR,1,M,6.8,F,0     N,N,N,N,
289,8,30,1957,1400,12,ZAR,1,M,7.3,F,0     N,N,N,N,
290,8,30,1957,1400,12,ZAR,1,M,11.9,F,0     N,N,N,N,
291,8,30,1957,1400,12,ZAR,1,M,7,F,0     N,N,N,N,
292,8,30,1957,1400,12,ZAR,1,M,5.8,F,0     N,N,N,N,
293,8,30,1957,1400,12,ZAR,1,M,9.6,F,0     N,N,N,N,
294,8,30,1957,1400,12,ZAR,1,M,5.1,F,0     N,N,N,N,
295,8,30,1957,1400,12,ZAR,1,M,6.7,F,0     N,N,N,N,
296,8,30,1957,1400,12,ZAR,1,M,7.4,F,0     N,N,N,N,
297,8,30,1957,1400,12,ZAR,1,M,7.8,F,0     N,N,N,N,
298,8,30,1957,1400,12,ZAR,1,M,8.3,F,0     N,N,N,N,
299,8,30,1957,1400,12,ZAR,1,M,6.7,F,0     N,N,N,N,
300,8,30,1957,1400,12,ZAR,1,M,9.6,F,0     N,N,N,N,
301,8,30,1957,1600,8,POL,1,F,10.4,U,0     N,N,N,N,
302,8,30,1957,1600,8,POL,1,F,9.1,F,0     N,N,N,N,
303,8,30,1957,1600,8,POL,1,F,5.4,U,0     N,N,N,N,
304,8,30,1957,1600,8,POL,1,F,7.1,U,0     N,N,N,N,
305,8,30,1957,1600,8,POL,1,F,8.9,U,0     N,N,N,N,
306,8,30,1957,1600,8,POL,1,F,7.1,F,0     N,N,N,N,
307,8,30,1957,1600,8,POL,1,F,9.9,U,0     N,N,N,N,
308,8,30,1957,1600,8,POL,1,F,10.6,U,0     N,N,N,N,
309,8,30,1957,1600,8,POL,1,F,11.4,U,0     N,N,N,N,
310,8,30,1957,1600,8,POL,1,F,6.2,F,0     N,N,N,N,
311,8,30,1957,1600,8,POL,1,F,6.6,U,0     N,N,N,N,
312,8,30,1957,1600,8,POL,1,F,7.5,U,0     N,N,N,N,
313,8,30,1957,1600,8,POL,1,F,9,U,0     N,N,N,N,
314,8,30,1957,1600,8,POL,1,F,6.3,F,0     N,N,N,N,
315,8,30,1957,1600,8,POL,1,F,5.5,U,0     N,N,N,N,
316,8,30,1957,1600,8,POL,1,F,4.6,U,0     N,N,N,N,
317,8,30,1957,1600,8,POL,1,F,6.9,U,0     N,N,N,N,
318,8,30,1957,1600,8,POL,1,F,5.9,F,0     N,N,N,N,
319,8,30,1957,1600,8,POL,1,F,8.6,U,0     N,N,N,N,
320,8,30,1957,1600,8,POL,1,F,5.3,U,0     N,N,N,N,
321,8,30,1957,1600,8,POL,1,F,9.3,U,0     N,N,N,N,
322,8,30,1957,1600,8,POL,1,F,7,F,0     N,N,N,N,
323,8,30,1957,1600,8,POL,1,F,6.7,U,0     N,N,N,N,
324,8,30,1957,1600,8,POL,1,F,12.5,U,0     N,N,N,N,
325,8,30,1957,1600,8,POL,1,F,7.4,U,0     N,N,N,N,
326,8,30,1957,1600,8,POL,1,F,8.3,F,0     N,N,N,N,
327,8,30,1957,1600,8,POL,1,F,4.8,U,0     N,N,N,N,
328,8,30,1957,1600,8,POL,1,F,6.3,U,0     N,N,N,N,
329,8,30,1957,1600,8,POL,1,F,8,U,0     N,N,N,N,
330,8,30,1957,1600,8,POL,1,F,5.7,F,0     N,N,N,N,
331,8,30,1957,1600,8,POL,1,F,8.9,U,0     N,N,N,N,
332,8,30,1957,1600,8,POL,1,F,9.4,U,0     N,N,N,N,
333,8,30,1957,1600,8,POL,1,F,4.9,U,0     N,N,N,N,
334,8,30,1957,1600,8,POL,1,F,5.4,F,0     N,N,N,N,
335,8,30,1957,1600,8,POL,1,F,5.9,U,0     N,N,N,N,
336,8,30,1957,1600,8,POL,1,F,5.1,U,0     N,N,N,N,
337,8,30,1957,1600,8,POL,1,F,6.6,U,0     N,N,N,N,
338,8,30,1957,1600,8,POL,1,F,7.4,F,0     N,N,N,N,
339,8,30,1957,1600,8,POL,1,F,4.3,U,0     N,N,N,N,
340,8,30,1957,1600,8,POL,1,F,3.6,U,0     N,N,N,N,
341,8,30,1957,1600,8,POL,1,F,7.6,U,0     N,N,N,N,
342,8,30,1957,1600,8,POL,1,F,9.5,F,0     N,N,N,N,
343,8,30,1957,1600,8,POL,1,F,5.9,U,0     N,N,N,N,
